"filename", "language", "TOML", "Rust", "Markdown", "YAML", "comment", "blank", "total"
"c:\pathfinder\Cargo.lock", "TOML", 4028, 0, 0, 0, 2, 422, 4452
"c:\pathfinder\Cargo.toml", "TOML", 11, 0, 0, 0, 0, 3, 14
"c:\pathfinder\README.md", "Markdown", 0, 0, 17, 0, 0, 8, 25
"c:\pathfinder\demos\staking-lst\README.md", "Markdown", 0, 0, 9, 0, 0, 4, 13
"c:\pathfinder\demos\staking-lst\config.yaml", "YAML", 0, 0, 0, 0, 0, 1, 1
"c:\pathfinder\src\client_asset_scanner\mod.rs", "Rust", 0, 4, 0, 0, 1, 2, 7
"c:\pathfinder\src\lib.rs", "Rust", 0, 1, 0, 0, 0, 1, 2
"c:\pathfinder\src\main.rs", "Rust", 0, 3, 0, 0, 0, 1, 4
"c:\pathfinder\src\new_project_scanner\config.rs", "Rust", 0, 29, 0, 0, 0, 5, 34
"c:\pathfinder\src\new_project_scanner\discovery.rs", "Rust", 0, 26, 0, 0, 9, 5, 40
"c:\pathfinder\src\new_project_scanner\errors.rs", "Rust", 0, 12, 0, 0, 0, 5, 17
"c:\pathfinder\src\new_project_scanner\evm.rs", "Rust", 0, 34, 0, 0, 0, 6, 40
"c:\pathfinder\src\new_project_scanner\filter.rs", "Rust", 0, 103, 0, 0, 20, 15, 138
"c:\pathfinder\src\new_project_scanner\inspect.rs", "Rust", 0, 85, 0, 0, 6, 17, 108
"c:\pathfinder\src\new_project_scanner\mod.rs", "Rust", 0, 9, 0, 0, 0, 1, 10
"c:\pathfinder\src\new_project_scanner\scanner.rs", "Rust", 0, 53, 0, 0, 0, 10, 63
"c:\pathfinder\src\new_project_scanner\store.rs", "Rust", 0, 64, 0, 0, 1, 9, 74
"c:\pathfinder\src\new_project_scanner\types.rs", "Rust", 0, 99, 0, 0, 2, 23, 124
"c:\pathfinder\src\optimizer\mod.rs", "Rust", 0, 4, 0, 0, 1, 2, 7
"Total", "-", 4039, 526, 26, 0, 42, 540, 5173
