"filename", "language", "TOML", "Rust", "XML", "comment", "blank", "total"
"c:\pathfinder\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 8
"c:\pathfinder\.idea\pathfinder.iml", "XML", 0, 0, 11, 0, 0, 11
"c:\pathfinder\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 6
"c:\pathfinder\Cargo.lock", "TOML", 481, 0, 0, 0, 50, 531
"c:\pathfinder\Cargo.toml", "TOML", 8, 0, 0, 0, 0, 8
"c:\pathfinder\src\bin\test_scanners1.rs", "Rust", 0, 66, 0, 5, 6, 77
"c:\pathfinder\src\new_project_scanner\alloy_evm.rs", "Rust", 0, 222, 0, 6, 40, 268
"c:\pathfinder\src\new_project_scanner\config.rs", "Rust", 0, 0, 0, 1, 0, 1
"c:\pathfinder\src\new_project_scanner\discovery.rs", "Rust", 0, 39, 0, -2, 9, 46
"c:\pathfinder\src\new_project_scanner\errors.rs", "Rust", 0, 0, 0, 1, 0, 1
"c:\pathfinder\src\new_project_scanner\evm.rs", "Rust", 0, 12, 0, 0, 5, 17
"c:\pathfinder\src\new_project_scanner\filter.rs", "Rust", 0, 100, 0, -5, 18, 113
"c:\pathfinder\src\new_project_scanner\inspect.rs", "Rust", 0, 0, 0, 1, 0, 1
"c:\pathfinder\src\new_project_scanner\inspect0.rs", "Rust", 0, 85, 0, 7, 17, 109
"c:\pathfinder\src\new_project_scanner\mod.rs", "Rust", 0, 1, 0, 0, 0, 1
"c:\pathfinder\src\new_project_scanner\scanner.rs", "Rust", 0, 74, 0, 9, 17, 100
"c:\pathfinder\src\new_project_scanner\scanner0.rs", "Rust", 0, 57, 0, 1, 25, 83
"c:\pathfinder\src\new_project_scanner\store.rs", "Rust", 0, -64, 0, -1, -8, -73
"c:\pathfinder\src\new_project_scanner\store0.rs", "Rust", 0, 64, 0, 2, 9, 75
"c:\pathfinder\src\new_project_scanner\types.rs", "Rust", 0, 27, 0, 1, 7, 35
"Total", "-", 489, 683, 25, 26, 195, 1418
