"filename", "language", "TOML", "Rust", "XML", "Markdown", "YAML", "comment", "blank", "total"
"c:\pathfinder\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 8
"c:\pathfinder\.idea\pathfinder.iml", "XML", 0, 0, 11, 0, 0, 0, 0, 11
"c:\pathfinder\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 6
"c:\pathfinder\Cargo.lock", "TOML", 4509, 0, 0, 0, 0, 2, 472, 4983
"c:\pathfinder\Cargo.toml", "TOML", 19, 0, 0, 0, 0, 0, 3, 22
"c:\pathfinder\README.md", "Markdown", 0, 0, 0, 17, 0, 0, 8, 25
"c:\pathfinder\demos\staking-lst\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 4, 13
"c:\pathfinder\demos\staking-lst\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\pathfinder\src\bin\test_scanners1.rs", "Rust", 0, 66, 0, 0, 0, 5, 6, 77
"c:\pathfinder\src\client_asset_scanner\mod.rs", "Rust", 0, 4, 0, 0, 0, 1, 2, 7
"c:\pathfinder\src\lib.rs", "Rust", 0, 1, 0, 0, 0, 0, 1, 2
"c:\pathfinder\src\main.rs", "Rust", 0, 3, 0, 0, 0, 0, 1, 4
"c:\pathfinder\src\new_project_scanner\alloy_evm.rs", "Rust", 0, 222, 0, 0, 0, 6, 40, 268
"c:\pathfinder\src\new_project_scanner\config.rs", "Rust", 0, 29, 0, 0, 0, 1, 5, 35
"c:\pathfinder\src\new_project_scanner\discovery.rs", "Rust", 0, 65, 0, 0, 0, 7, 14, 86
"c:\pathfinder\src\new_project_scanner\errors.rs", "Rust", 0, 12, 0, 0, 0, 1, 5, 18
"c:\pathfinder\src\new_project_scanner\evm.rs", "Rust", 0, 46, 0, 0, 0, 0, 11, 57
"c:\pathfinder\src\new_project_scanner\filter.rs", "Rust", 0, 203, 0, 0, 0, 15, 33, 251
"c:\pathfinder\src\new_project_scanner\inspect.rs", "Rust", 0, 85, 0, 0, 0, 7, 17, 109
"c:\pathfinder\src\new_project_scanner\inspect0.rs", "Rust", 0, 85, 0, 0, 0, 7, 17, 109
"c:\pathfinder\src\new_project_scanner\mod.rs", "Rust", 0, 10, 0, 0, 0, 0, 1, 11
"c:\pathfinder\src\new_project_scanner\scanner.rs", "Rust", 0, 127, 0, 0, 0, 9, 27, 163
"c:\pathfinder\src\new_project_scanner\scanner0.rs", "Rust", 0, 57, 0, 0, 0, 1, 25, 83
"c:\pathfinder\src\new_project_scanner\store.rs", "Rust", 0, 0, 0, 0, 0, 0, 1, 1
"c:\pathfinder\src\new_project_scanner\store0.rs", "Rust", 0, 64, 0, 0, 0, 2, 9, 75
"c:\pathfinder\src\new_project_scanner\types.rs", "Rust", 0, 126, 0, 0, 0, 3, 30, 159
"c:\pathfinder\src\optimizer\mod.rs", "Rust", 0, 4, 0, 0, 0, 1, 2, 7
"Total", "-", 4528, 1209, 25, 26, 0, 68, 735, 6591
