"filename", "language", "TOML", "Rust", "Log", "comment", "blank", "total"
"c:\pathfinder\Cargo.lock", "TOML", 1, 0, 0, 0, 0, 1
"c:\pathfinder\Cargo.toml", "TOML", 4, 0, 0, 0, 2, 6
"c:\pathfinder\scanner.log", "Log", 0, 0, 57014, 0, 5, 57019
"c:\pathfinder\src\bin\new.rs", "Rust", 0, 18, 0, 19, 7, 44
"c:\pathfinder\src\bin\test_scanners1.rs", "Rust", 0, -1, 0, 9, 6, 14
"c:\pathfinder\src\new_project_scanner\alloy_evm.rs", "Rust", 0, 24, 0, 1, 1, 26
"c:\pathfinder\src\new_project_scanner\config.rs", "Rust", 0, 2, 0, 0, 1, 3
"c:\pathfinder\src\new_project_scanner\discovery.rs", "Rust", 0, 0, 0, -2, 0, -2
"c:\pathfinder\src\new_project_scanner\errors.rs", "Rust", 0, 2, 0, 0, 1, 3
"c:\pathfinder\src\new_project_scanner\evm.rs", "Rust", 0, 2, 0, 0, 1, 3
"c:\pathfinder\src\new_project_scanner\filter.rs", "Rust", 0, 13, 0, -5, 5, 13
"c:\pathfinder\src\new_project_scanner\inspect.rs", "Rust", 0, 3, 0, 0, 0, 3
"c:\pathfinder\src\new_project_scanner\inspect0.rs", "Rust", 0, -85, 0, -7, -17, -109
"c:\pathfinder\src\new_project_scanner\scanner.rs", "Rust", 0, -31, 0, -4, -9, -44
"c:\pathfinder\src\new_project_scanner\scanner0.rs", "Rust", 0, -57, 0, -1, -25, -83
"c:\pathfinder\src\new_project_scanner\store.rs", "Rust", 0, 119, 0, 6, 24, 149
"c:\pathfinder\src\new_project_scanner\store0.rs", "Rust", 0, -64, 0, -2, -9, -75
"c:\pathfinder\src\new_project_scanner\types.rs", "Rust", 0, 7, 0, 0, 0, 7
"Total", "-", 5, -48, 57014, 14, -7, 56978
