"filename", "language", "XML", "TOML", "YAML", "Rust", "Markdown", "Log", "comment", "blank", "total"
"c:\pathfinder\.idea\modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\pathfinder\.idea\pathfinder.iml", "XML", 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\pathfinder\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\pathfinder\Cargo.lock", "TOML", 0, 4510, 0, 0, 0, 0, 2, 472, 4984
"c:\pathfinder\Cargo.toml", "TOML", 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\pathfinder\README.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 8, 25
"c:\pathfinder\demos\staking-lst\README.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 4, 13
"c:\pathfinder\demos\staking-lst\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\pathfinder\scanner.log", "Log", 0, 0, 0, 0, 0, 57014, 0, 5, 57019
"c:\pathfinder\src\bin\new.rs", "Rust", 0, 0, 0, 18, 0, 0, 19, 7, 44
"c:\pathfinder\src\bin\test_scanners1.rs", "Rust", 0, 0, 0, 65, 0, 0, 14, 12, 91
"c:\pathfinder\src\client_asset_scanner\mod.rs", "Rust", 0, 0, 0, 4, 0, 0, 1, 2, 7
"c:\pathfinder\src\lib.rs", "Rust", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\pathfinder\src\main.rs", "Rust", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\pathfinder\src\new_project_scanner\alloy_evm.rs", "Rust", 0, 0, 0, 246, 0, 0, 7, 41, 294
"c:\pathfinder\src\new_project_scanner\config.rs", "Rust", 0, 0, 0, 31, 0, 0, 1, 6, 38
"c:\pathfinder\src\new_project_scanner\discovery.rs", "Rust", 0, 0, 0, 65, 0, 0, 5, 14, 84
"c:\pathfinder\src\new_project_scanner\errors.rs", "Rust", 0, 0, 0, 14, 0, 0, 1, 6, 21
"c:\pathfinder\src\new_project_scanner\evm.rs", "Rust", 0, 0, 0, 48, 0, 0, 0, 12, 60
"c:\pathfinder\src\new_project_scanner\filter.rs", "Rust", 0, 0, 0, 216, 0, 0, 10, 38, 264
"c:\pathfinder\src\new_project_scanner\inspect.rs", "Rust", 0, 0, 0, 88, 0, 0, 7, 17, 112
"c:\pathfinder\src\new_project_scanner\mod.rs", "Rust", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\pathfinder\src\new_project_scanner\scanner.rs", "Rust", 0, 0, 0, 96, 0, 0, 5, 18, 119
"c:\pathfinder\src\new_project_scanner\store.rs", "Rust", 0, 0, 0, 119, 0, 0, 6, 25, 150
"c:\pathfinder\src\new_project_scanner\types.rs", "Rust", 0, 0, 0, 133, 0, 0, 3, 30, 166
"c:\pathfinder\src\optimizer\mod.rs", "Rust", 0, 0, 0, 4, 0, 0, 1, 2, 7
"Total", "-", 25, 4533, 0, 1161, 26, 57014, 82, 728, 63569
