"filename", "language", "Rust", "TOML", "YAML", "Markdown", "XML", "Log", "comment", "blank", "total"
"c:\pathfinder\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\pathfinder\.idea\pathfinder.iml", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 11
"c:\pathfinder\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\pathfinder\Cargo.lock", "TOML", 0, 4510, 0, 0, 0, 0, 2, 472, 4984
"c:\pathfinder\Cargo.toml", "TOML", 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\pathfinder\README.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 8, 25
"c:\pathfinder\demos\staking-lst\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 4, 13
"c:\pathfinder\demos\staking-lst\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\pathfinder\scanner.log", "Log", 0, 0, 0, 0, 0, 57014, 0, 5, 57019
"c:\pathfinder\src\bin\new.rs", "Rust", 18, 0, 0, 0, 0, 0, 19, 7, 44
"c:\pathfinder\src\bin\test_scanners1.rs", "Rust", 65, 0, 0, 0, 0, 0, 14, 12, 91
"c:\pathfinder\src\client_asset_scanner\mod.rs", "Rust", 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\pathfinder\src\lib.rs", "Rust", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\pathfinder\src\main.rs", "Rust", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\pathfinder\src\new_project_scanner\alloy_evm.rs", "Rust", 246, 0, 0, 0, 0, 0, 7, 41, 294
"c:\pathfinder\src\new_project_scanner\config.rs", "Rust", 31, 0, 0, 0, 0, 0, 1, 6, 38
"c:\pathfinder\src\new_project_scanner\detectors\concentration_detector.rs", "Rust", 24, 0, 0, 0, 0, 0, 10, 12, 46
"c:\pathfinder\src\new_project_scanner\detectors\eoa_detector.rs", "Rust", 19, 0, 0, 0, 0, 0, 2, 6, 27
"c:\pathfinder\src\new_project_scanner\detectors\inflation_detector.rs", "Rust", 23, 0, 0, 0, 0, 0, 1, 5, 29
"c:\pathfinder\src\new_project_scanner\detectors\mod.rs", "Rust", 6, 0, 0, 0, 0, 0, 31, 9, 46
"c:\pathfinder\src\new_project_scanner\detectors\new_contract_detector.rs", "Rust", 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\pathfinder\src\new_project_scanner\detectors\owner_detector.rs", "Rust", 50, 0, 0, 0, 0, 0, 5, 15, 70
"c:\pathfinder\src\new_project_scanner\detectors\tvl_volatility_detector.rs", "Rust", 24, 0, 0, 0, 0, 0, 2, 6, 32
"c:\pathfinder\src\new_project_scanner\discovery.rs", "Rust", 65, 0, 0, 0, 0, 0, 5, 14, 84
"c:\pathfinder\src\new_project_scanner\errors.rs", "Rust", 14, 0, 0, 0, 0, 0, 1, 6, 21
"c:\pathfinder\src\new_project_scanner\evm.rs", "Rust", 48, 0, 0, 0, 0, 0, 0, 12, 60
"c:\pathfinder\src\new_project_scanner\filter.rs", "Rust", 224, 0, 0, 0, 0, 0, 10, 37, 271
"c:\pathfinder\src\new_project_scanner\inspect.rs", "Rust", 88, 0, 0, 0, 0, 0, 7, 17, 112
"c:\pathfinder\src\new_project_scanner\mod.rs", "Rust", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\pathfinder\src\new_project_scanner\risk.rs", "Rust", 80, 0, 0, 0, 0, 0, 15, 24, 119
"c:\pathfinder\src\new_project_scanner\scanner.rs", "Rust", 96, 0, 0, 0, 0, 0, 5, 18, 119
"c:\pathfinder\src\new_project_scanner\scorer.rs", "Rust", 43, 0, 0, 0, 0, 0, 4, 10, 57
"c:\pathfinder\src\new_project_scanner\store.rs", "Rust", 119, 0, 0, 0, 0, 0, 6, 25, 150
"c:\pathfinder\src\new_project_scanner\types.rs", "Rust", 133, 0, 0, 0, 0, 0, 3, 30, 166
"c:\pathfinder\src\optimizer\mod.rs", "Rust", 4, 0, 0, 0, 0, 0, 1, 2, 7
"Total", "-", 1456, 4533, 0, 26, 25, 57014, 152, 818, 64024
