"filename", "language", "Markdown", "XML", "TOML", "Rust", "YAML", "Log", "comment", "blank", "total"
"c:\pathfinder\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\pathfinder\.idea\pathfinder.iml", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\pathfinder\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\pathfinder\Cargo.lock", "TOML", 0, 0, 4510, 0, 0, 0, 2, 472, 4984
"c:\pathfinder\Cargo.toml", "TOML", 0, 0, 23, 0, 0, 0, 0, 5, 28
"c:\pathfinder\README.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 8, 25
"c:\pathfinder\demos\staking-lst\README.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\pathfinder\demos\staking-lst\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\pathfinder\scanner.log", "Log", 0, 0, 0, 0, 0, 57014, 0, 5, 57019
"c:\pathfinder\src\bin\new.rs", "Rust", 0, 0, 0, 18, 0, 0, 19, 7, 44
"c:\pathfinder\src\bin\test_scanners1.rs", "Rust", 0, 0, 0, 65, 0, 0, 14, 12, 91
"c:\pathfinder\src\client_asset_scanner\mod.rs", "Rust", 0, 0, 0, 4, 0, 0, 1, 2, 7
"c:\pathfinder\src\lib.rs", "Rust", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\pathfinder\src\main.rs", "Rust", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\pathfinder\src\new_project_scanner\alloy_evm.rs", "Rust", 0, 0, 0, 246, 0, 0, 7, 41, 294
"c:\pathfinder\src\new_project_scanner\config.rs", "Rust", 0, 0, 0, 31, 0, 0, 1, 6, 38
"c:\pathfinder\src\new_project_scanner\detectors\concentration_detector.rs", "Rust", 0, 0, 0, 24, 0, 0, 10, 12, 46
"c:\pathfinder\src\new_project_scanner\detectors\eoa_detector.rs", "Rust", 0, 0, 0, 19, 0, 0, 2, 6, 27
"c:\pathfinder\src\new_project_scanner\detectors\inflation_detector.rs", "Rust", 0, 0, 0, 23, 0, 0, 1, 5, 29
"c:\pathfinder\src\new_project_scanner\detectors\mod.rs", "Rust", 0, 0, 0, 6, 0, 0, 31, 9, 46
"c:\pathfinder\src\new_project_scanner\detectors\new_contract_detector.rs", "Rust", 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\pathfinder\src\new_project_scanner\detectors\owner_detector.rs", "Rust", 0, 0, 0, 50, 0, 0, 5, 15, 70
"c:\pathfinder\src\new_project_scanner\detectors\tvl_volatility_detector.rs", "Rust", 0, 0, 0, 24, 0, 0, 2, 6, 32
"c:\pathfinder\src\new_project_scanner\discovery.rs", "Rust", 0, 0, 0, 65, 0, 0, 5, 14, 84
"c:\pathfinder\src\new_project_scanner\errors.rs", "Rust", 0, 0, 0, 14, 0, 0, 1, 6, 21
"c:\pathfinder\src\new_project_scanner\evm.rs", "Rust", 0, 0, 0, 48, 0, 0, 0, 12, 60
"c:\pathfinder\src\new_project_scanner\filter.rs", "Rust", 0, 0, 0, 224, 0, 0, 10, 37, 271
"c:\pathfinder\src\new_project_scanner\inspect.rs", "Rust", 0, 0, 0, 88, 0, 0, 7, 17, 112
"c:\pathfinder\src\new_project_scanner\mod.rs", "Rust", 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\pathfinder\src\new_project_scanner\risk.rs", "Rust", 0, 0, 0, 80, 0, 0, 15, 24, 119
"c:\pathfinder\src\new_project_scanner\scanner.rs", "Rust", 0, 0, 0, 96, 0, 0, 5, 18, 119
"c:\pathfinder\src\new_project_scanner\scorer.rs", "Rust", 0, 0, 0, 43, 0, 0, 5, 10, 58
"c:\pathfinder\src\new_project_scanner\store.rs", "Rust", 0, 0, 0, 119, 0, 0, 6, 25, 150
"c:\pathfinder\src\new_project_scanner\types.rs", "Rust", 0, 0, 0, 133, 0, 0, 3, 30, 166
"c:\pathfinder\src\optimizer\mod.rs", "Rust", 0, 0, 0, 4, 0, 0, 1, 2, 7
"Total", "-", 26, 25, 4533, 1456, 0, 57014, 153, 818, 64025
