"filename", "language", "Rust", "XML", "TOML", "Markdown", "YAML", "MS SQL", "Log", "comment", "blank", "total"
"c:\pathfinder\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\pathfinder\.idea\pathfinder.iml", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\pathfinder\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\pathfinder\Cargo.lock", "TOML", 0, 0, 4510, 0, 0, 0, 0, 2, 472, 4984
"c:\pathfinder\Cargo.toml", "TOML", 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\pathfinder\README.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 8, 25
"c:\pathfinder\demos\staking-lst\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\pathfinder\demos\staking-lst\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\pathfinder\scanner.log", "Log", 0, 0, 0, 0, 0, 0, 57014, 0, 5, 57019
"c:\pathfinder\src\bin\new.rs", "Rust", 18, 0, 0, 0, 0, 0, 0, 19, 7, 44
"c:\pathfinder\src\bin\test_scanners1.rs", "Rust", 65, 0, 0, 0, 0, 0, 0, 14, 12, 91
"c:\pathfinder\src\client_asset_scanner\mod.rs", "Rust", 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\pathfinder\src\lib.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\pathfinder\src\main.rs", "Rust", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\pathfinder\src\new_project_scanner\alloy_evm.rs", "Rust", 246, 0, 0, 0, 0, 0, 0, 7, 41, 294
"c:\pathfinder\src\new_project_scanner\config.rs", "Rust", 31, 0, 0, 0, 0, 0, 0, 1, 6, 38
"c:\pathfinder\src\new_project_scanner\discovery.rs", "Rust", 65, 0, 0, 0, 0, 0, 0, 5, 14, 84
"c:\pathfinder\src\new_project_scanner\errors.rs", "Rust", 14, 0, 0, 0, 0, 0, 0, 1, 6, 21
"c:\pathfinder\src\new_project_scanner\evm.rs", "Rust", 48, 0, 0, 0, 0, 0, 0, 0, 12, 60
"c:\pathfinder\src\new_project_scanner\filter.rs", "Rust", 224, 0, 0, 0, 0, 0, 0, 10, 37, 271
"c:\pathfinder\src\new_project_scanner\inspect.rs", "Rust", 88, 0, 0, 0, 0, 0, 0, 7, 17, 112
"c:\pathfinder\src\new_project_scanner\mod.rs", "Rust", 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\pathfinder\src\new_project_scanner\scanner.rs", "Rust", 96, 0, 0, 0, 0, 0, 0, 5, 18, 119
"c:\pathfinder\src\new_project_scanner\store.rs", "Rust", 113, 0, 0, 0, 0, 0, 0, 6, 26, 145
"c:\pathfinder\src\new_project_scanner\types.rs", "Rust", 133, 0, 0, 0, 0, 0, 0, 3, 30, 166
"c:\pathfinder\src\optimizer\mod.rs", "Rust", 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\pathfinder\src\risk\clickhouse.rs", "Rust", 67, 0, 0, 0, 0, 0, 0, 12, 12, 91
"c:\pathfinder\src\risk\clickhouse.sql", "MS SQL", 0, 0, 0, 0, 0, 33, 0, 3, 9, 45
"c:\pathfinder\src\risk\context.rs", "Rust", 107, 0, 0, 0, 0, 0, 0, 18, 27, 152
"c:\pathfinder\src\risk\convert.rs", "Rust", 42, 0, 0, 0, 0, 0, 0, 1, 11, 54
"c:\pathfinder\src\risk\detectors\concentration_detector.rs", "Rust", 24, 0, 0, 0, 0, 0, 0, 10, 12, 46
"c:\pathfinder\src\risk\detectors\eoa_detector.rs", "Rust", 19, 0, 0, 0, 0, 0, 0, 2, 6, 27
"c:\pathfinder\src\risk\detectors\inflation_detector.rs", "Rust", 23, 0, 0, 0, 0, 0, 0, 1, 5, 29
"c:\pathfinder\src\risk\detectors\mod.rs", "Rust", 6, 0, 0, 0, 0, 0, 0, 31, 9, 46
"c:\pathfinder\src\risk\detectors\new_contract_detector.rs", "Rust", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\pathfinder\src\risk\detectors\owner_detector.rs", "Rust", 50, 0, 0, 0, 0, 0, 0, 5, 15, 70
"c:\pathfinder\src\risk\detectors\tvl_volatility_detector.rs", "Rust", 24, 0, 0, 0, 0, 0, 0, 2, 6, 32
"c:\pathfinder\src\risk\mod.rs", "Rust", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\pathfinder\src\risk\model.rs", "Rust", 18, 0, 0, 0, 0, 0, 0, 5, 8, 31
"c:\pathfinder\src\risk\risk.rs", "Rust", 80, 0, 0, 0, 0, 0, 0, 15, 24, 119
"c:\pathfinder\src\risk\scorer.rs", "Rust", 43, 0, 0, 0, 0, 0, 0, 5, 10, 58
"Total", "-", 1686, 25, 4533, 26, 0, 33, 57014, 192, 887, 64396
