"filename", "language", "Rust", "MS SQL", "comment", "blank", "total"
"c:\pathfinder\src\new_project_scanner\types.rs", "Rust", 0, 0, 1, 0, 1
"c:\pathfinder\src\risk\apr.rs", "Rust", 245, 0, 10, 55, 310
"c:\pathfinder\src\risk\apr_detector.rs", "Rust", 0, 0, 1, 1, 2
"c:\pathfinder\src\risk\clickhouse.rs", "Rust", 15, 0, 6, 5, 26
"c:\pathfinder\src\risk\clickhouse.sql", "MS SQL", 0, 32, 5, 11, 48
"c:\pathfinder\src\risk\context.rs", "Rust", -27, 0, 9, -1, -19
"c:\pathfinder\src\risk\convert.rs", "Rust", 3, 0, 1, 1, 5
"c:\pathfinder\src\risk\detectors\apr_risk_detector.rs", "Rust", 28, 0, 1, 10, 39
"c:\pathfinder\src\risk\detectors\concentration_detector.rs", "Rust", -24, 0, -10, -12, -46
"c:\pathfinder\src\risk\detectors\eoa_detector.rs", "Rust", -19, 0, -2, -6, -27
"c:\pathfinder\src\risk\detectors\holder_concentration_detector.rs", "Rust", 24, 0, 10, 12, 46
"c:\pathfinder\src\risk\detectors\inflation_detector.rs", "Rust", -23, 0, -1, -5, -29
"c:\pathfinder\src\risk\detectors\mod.rs", "Rust", 1, 0, 8, 1, 10
"c:\pathfinder\src\risk\detectors\new_contract_detector.rs", "Rust", -15, 0, 0, -3, -18
"c:\pathfinder\src\risk\detectors\owner_detector.rs", "Rust", -50, 0, -5, -15, -70
"c:\pathfinder\src\risk\detectors\owner_privilege_detector.rs", "Rust", 50, 0, 5, 15, 70
"c:\pathfinder\src\risk\detectors\proxy_admin_eoa_detector.rs", "Rust", 19, 0, 4, 6, 29
"c:\pathfinder\src\risk\detectors\reward_inflation_detector.rs", "Rust", 23, 0, 1, 5, 29
"c:\pathfinder\src\risk\detectors\very_new_contract_detector.rs", "Rust", 15, 0, 0, 3, 18
"c:\pathfinder\src\risk\engine.rs", "Rust", 82, 0, 15, 24, 121
"c:\pathfinder\src\risk\mod.rs", "Rust", 6, 0, 0, 0, 6
"c:\pathfinder\src\risk\model.rs", "Rust", 0, 0, 1, 0, 1
"c:\pathfinder\src\risk\risk.rs", "Rust", -80, 0, -15, -24, -119
"c:\pathfinder\src\risk\scorer.rs", "Rust", 0, 0, 0, -1, -1
"c:\pathfinder\src\risk\store.rs", "Rust", 38, 0, 4, 9, 51
"c:\pathfinder\src\risk\types.rs", "Rust", 0, 0, 0, 1, 1
"Total", "-", 311, 32, 49, 92, 484
