"filename", "language", "TOML", "XML", "Markdown", "Rust", "YAML", "MS SQL", "Log", "comment", "blank", "total"
"c:\pathfinder\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\pathfinder\.idea\pathfinder.iml", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\pathfinder\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\pathfinder\Cargo.lock", "TOML", 4510, 0, 0, 0, 0, 0, 0, 2, 472, 4984
"c:\pathfinder\Cargo.toml", "TOML", 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\pathfinder\README.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 8, 25
"c:\pathfinder\demos\staking-lst\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\pathfinder\demos\staking-lst\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\pathfinder\scanner.log", "Log", 0, 0, 0, 0, 0, 0, 57014, 0, 5, 57019
"c:\pathfinder\src\bin\new.rs", "Rust", 0, 0, 0, 18, 0, 0, 0, 19, 7, 44
"c:\pathfinder\src\bin\test_scanners1.rs", "Rust", 0, 0, 0, 65, 0, 0, 0, 14, 12, 91
"c:\pathfinder\src\client_asset_scanner\mod.rs", "Rust", 0, 0, 0, 4, 0, 0, 0, 1, 2, 7
"c:\pathfinder\src\lib.rs", "Rust", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\pathfinder\src\main.rs", "Rust", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\pathfinder\src\new_project_scanner\alloy_evm.rs", "Rust", 0, 0, 0, 246, 0, 0, 0, 7, 41, 294
"c:\pathfinder\src\new_project_scanner\config.rs", "Rust", 0, 0, 0, 31, 0, 0, 0, 1, 6, 38
"c:\pathfinder\src\new_project_scanner\discovery.rs", "Rust", 0, 0, 0, 65, 0, 0, 0, 5, 14, 84
"c:\pathfinder\src\new_project_scanner\errors.rs", "Rust", 0, 0, 0, 14, 0, 0, 0, 1, 6, 21
"c:\pathfinder\src\new_project_scanner\evm.rs", "Rust", 0, 0, 0, 48, 0, 0, 0, 0, 12, 60
"c:\pathfinder\src\new_project_scanner\filter.rs", "Rust", 0, 0, 0, 224, 0, 0, 0, 10, 37, 271
"c:\pathfinder\src\new_project_scanner\inspect.rs", "Rust", 0, 0, 0, 88, 0, 0, 0, 7, 17, 112
"c:\pathfinder\src\new_project_scanner\mod.rs", "Rust", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\pathfinder\src\new_project_scanner\scanner.rs", "Rust", 0, 0, 0, 96, 0, 0, 0, 5, 18, 119
"c:\pathfinder\src\new_project_scanner\store.rs", "Rust", 0, 0, 0, 113, 0, 0, 0, 6, 26, 145
"c:\pathfinder\src\new_project_scanner\types.rs", "Rust", 0, 0, 0, 133, 0, 0, 0, 4, 30, 167
"c:\pathfinder\src\optimizer\mod.rs", "Rust", 0, 0, 0, 4, 0, 0, 0, 1, 2, 7
"c:\pathfinder\src\risk\apr.rs", "Rust", 0, 0, 0, 245, 0, 0, 0, 10, 55, 310
"c:\pathfinder\src\risk\apr_detector.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\pathfinder\src\risk\clickhouse.rs", "Rust", 0, 0, 0, 82, 0, 0, 0, 18, 17, 117
"c:\pathfinder\src\risk\clickhouse.sql", "MS SQL", 0, 0, 0, 0, 0, 65, 0, 8, 20, 93
"c:\pathfinder\src\risk\context.rs", "Rust", 0, 0, 0, 80, 0, 0, 0, 27, 26, 133
"c:\pathfinder\src\risk\convert.rs", "Rust", 0, 0, 0, 45, 0, 0, 0, 2, 12, 59
"c:\pathfinder\src\risk\detectors\apr_risk_detector.rs", "Rust", 0, 0, 0, 28, 0, 0, 0, 1, 10, 39
"c:\pathfinder\src\risk\detectors\holder_concentration_detector.rs", "Rust", 0, 0, 0, 24, 0, 0, 0, 10, 12, 46
"c:\pathfinder\src\risk\detectors\mod.rs", "Rust", 0, 0, 0, 7, 0, 0, 0, 39, 10, 56
"c:\pathfinder\src\risk\detectors\owner_privilege_detector.rs", "Rust", 0, 0, 0, 50, 0, 0, 0, 5, 15, 70
"c:\pathfinder\src\risk\detectors\proxy_admin_eoa_detector.rs", "Rust", 0, 0, 0, 19, 0, 0, 0, 4, 6, 29
"c:\pathfinder\src\risk\detectors\reward_inflation_detector.rs", "Rust", 0, 0, 0, 23, 0, 0, 0, 1, 5, 29
"c:\pathfinder\src\risk\detectors\tvl_volatility_detector.rs", "Rust", 0, 0, 0, 24, 0, 0, 0, 2, 6, 32
"c:\pathfinder\src\risk\detectors\very_new_contract_detector.rs", "Rust", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\pathfinder\src\risk\engine.rs", "Rust", 0, 0, 0, 82, 0, 0, 0, 15, 24, 121
"c:\pathfinder\src\risk\mod.rs", "Rust", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\pathfinder\src\risk\model.rs", "Rust", 0, 0, 0, 18, 0, 0, 0, 6, 8, 32
"c:\pathfinder\src\risk\scorer.rs", "Rust", 0, 0, 0, 43, 0, 0, 0, 5, 9, 57
"c:\pathfinder\src\risk\store.rs", "Rust", 0, 0, 0, 38, 0, 0, 0, 4, 9, 51
"c:\pathfinder\src\risk\types.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 4533, 25, 26, 1997, 0, 65, 57014, 241, 979, 64880
