"filename", "language", "TOML", "Rust", "comment", "blank", "total"
"c:\pathfinder\Cargo.lock", "TOML", 82, 0, 0, 8, 90
"c:\pathfinder\Cargo.toml", "TOML", 4, 0, 0, 0, 4
"c:\pathfinder\src\new_project_scanner\filter.rs", "Rust", 0, 4, 0, 0, 4
"c:\pathfinder\src\new_project_scanner\mod.rs", "Rust", 0, 4, 1, -1, 4
"c:\pathfinder\src\new_project_scanner\store.rs", "Rust", 0, 1, 0, 0, 1
"c:\pathfinder\src\risk\apr.rs", "Rust", 0, 103, 14, 7, 124
"c:\pathfinder\src\risk\clickhouse.rs", "Rust", 0, 10, 1, 2, 13
"c:\pathfinder\src\risk\context.rs", "Rust", 0, 7, 0, 0, 7
"c:\pathfinder\src\risk\detectors\apr_risk_detector.rs", "Rust", 0, 8, 1, 2, 11
"c:\pathfinder\src\risk\detectors\holder_concentration_detector.rs", "Rust", 0, 7, 1, 2, 10
"c:\pathfinder\src\risk\detectors\mod.rs", "Rust", 0, 4, 1, 2, 7
"c:\pathfinder\src\risk\detectors\owner_privilege_detector.rs", "Rust", 0, 2, 1, 0, 3
"c:\pathfinder\src\risk\detectors\proxy_admin_eoa_detector.rs", "Rust", 0, 6, 1, 2, 9
"c:\pathfinder\src\risk\detectors\reward_inflation_detector.rs", "Rust", 0, 6, 1, 2, 9
"c:\pathfinder\src\risk\detectors\tvl_volatility_detector.rs", "Rust", 0, 7, 1, 2, 10
"c:\pathfinder\src\risk\detectors\very_new_contract_detector.rs", "Rust", 0, 7, 1, 2, 10
"c:\pathfinder\src\risk\mod.rs", "Rust", 0, -1, 1, 0, 0
"c:\pathfinder\src\risk\scorer.rs", "Rust", 0, 2, 0, 0, 2
"c:\pathfinder\src\risk\store.rs", "Rust", 0, 0, 0, 1, 1
"Total", "-", 86, 177, 25, 31, 319
