"filename", "language", "TOML", "Rust", "Markdown", "YAML", "MS SQL", "XML", "Log", "comment", "blank", "total"
"c:\pathfinder\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\pathfinder\.idea\pathfinder.iml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"c:\pathfinder\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\pathfinder\Cargo.lock", "TOML", 4592, 0, 0, 0, 0, 0, 0, 2, 480, 5074
"c:\pathfinder\Cargo.toml", "TOML", 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\pathfinder\README.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 8, 25
"c:\pathfinder\demos\staking-lst\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\pathfinder\demos\staking-lst\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\pathfinder\scanner.log", "Log", 0, 0, 0, 0, 0, 0, 57014, 0, 5, 57019
"c:\pathfinder\src\bin\new.rs", "Rust", 0, 18, 0, 0, 0, 0, 0, 19, 7, 44
"c:\pathfinder\src\bin\test_scanners1.rs", "Rust", 0, 65, 0, 0, 0, 0, 0, 14, 12, 91
"c:\pathfinder\src\client_asset_scanner\mod.rs", "Rust", 0, 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\pathfinder\src\lib.rs", "Rust", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\pathfinder\src\main.rs", "Rust", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\pathfinder\src\new_project_scanner\alloy_evm.rs", "Rust", 0, 246, 0, 0, 0, 0, 0, 7, 41, 294
"c:\pathfinder\src\new_project_scanner\config.rs", "Rust", 0, 31, 0, 0, 0, 0, 0, 1, 6, 38
"c:\pathfinder\src\new_project_scanner\discovery.rs", "Rust", 0, 65, 0, 0, 0, 0, 0, 5, 14, 84
"c:\pathfinder\src\new_project_scanner\errors.rs", "Rust", 0, 14, 0, 0, 0, 0, 0, 1, 6, 21
"c:\pathfinder\src\new_project_scanner\evm.rs", "Rust", 0, 48, 0, 0, 0, 0, 0, 0, 12, 60
"c:\pathfinder\src\new_project_scanner\filter.rs", "Rust", 0, 228, 0, 0, 0, 0, 0, 10, 37, 275
"c:\pathfinder\src\new_project_scanner\inspect.rs", "Rust", 0, 88, 0, 0, 0, 0, 0, 7, 17, 112
"c:\pathfinder\src\new_project_scanner\mod.rs", "Rust", 0, 14, 0, 0, 0, 0, 0, 1, 1, 16
"c:\pathfinder\src\new_project_scanner\scanner.rs", "Rust", 0, 96, 0, 0, 0, 0, 0, 5, 18, 119
"c:\pathfinder\src\new_project_scanner\store.rs", "Rust", 0, 114, 0, 0, 0, 0, 0, 6, 26, 146
"c:\pathfinder\src\new_project_scanner\types.rs", "Rust", 0, 133, 0, 0, 0, 0, 0, 4, 30, 167
"c:\pathfinder\src\optimizer\mod.rs", "Rust", 0, 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\pathfinder\src\risk\apr.rs", "Rust", 0, 348, 0, 0, 0, 0, 0, 24, 62, 434
"c:\pathfinder\src\risk\apr_detector.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\pathfinder\src\risk\clickhouse.rs", "Rust", 0, 92, 0, 0, 0, 0, 0, 19, 19, 130
"c:\pathfinder\src\risk\clickhouse.sql", "MS SQL", 0, 0, 0, 0, 65, 0, 0, 8, 20, 93
"c:\pathfinder\src\risk\context.rs", "Rust", 0, 87, 0, 0, 0, 0, 0, 27, 26, 140
"c:\pathfinder\src\risk\convert.rs", "Rust", 0, 45, 0, 0, 0, 0, 0, 2, 12, 59
"c:\pathfinder\src\risk\detectors\apr_risk_detector.rs", "Rust", 0, 36, 0, 0, 0, 0, 0, 2, 12, 50
"c:\pathfinder\src\risk\detectors\holder_concentration_detector.rs", "Rust", 0, 31, 0, 0, 0, 0, 0, 11, 14, 56
"c:\pathfinder\src\risk\detectors\mod.rs", "Rust", 0, 11, 0, 0, 0, 0, 0, 40, 12, 63
"c:\pathfinder\src\risk\detectors\owner_privilege_detector.rs", "Rust", 0, 52, 0, 0, 0, 0, 0, 6, 15, 73
"c:\pathfinder\src\risk\detectors\proxy_admin_eoa_detector.rs", "Rust", 0, 25, 0, 0, 0, 0, 0, 5, 8, 38
"c:\pathfinder\src\risk\detectors\reward_inflation_detector.rs", "Rust", 0, 29, 0, 0, 0, 0, 0, 2, 7, 38
"c:\pathfinder\src\risk\detectors\tvl_volatility_detector.rs", "Rust", 0, 31, 0, 0, 0, 0, 0, 3, 8, 42
"c:\pathfinder\src\risk\detectors\very_new_contract_detector.rs", "Rust", 0, 22, 0, 0, 0, 0, 0, 1, 5, 28
"c:\pathfinder\src\risk\engine.rs", "Rust", 0, 82, 0, 0, 0, 0, 0, 15, 24, 121
"c:\pathfinder\src\risk\mod.rs", "Rust", 0, 9, 0, 0, 0, 0, 0, 1, 1, 11
"c:\pathfinder\src\risk\model.rs", "Rust", 0, 18, 0, 0, 0, 0, 0, 6, 8, 32
"c:\pathfinder\src\risk\scorer.rs", "Rust", 0, 45, 0, 0, 0, 0, 0, 5, 9, 59
"c:\pathfinder\src\risk\store.rs", "Rust", 0, 38, 0, 0, 0, 0, 0, 4, 10, 52
"c:\pathfinder\src\risk\types.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 4619, 2174, 26, 0, 65, 25, 57014, 266, 1010, 65199
