"filename", "language", "Rust", "XML", "MS SQL", "TOML", "Markdown", "YAML", "Log", "comment", "blank", "total"
"c:\pathfinder\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\pathfinder\.idea\pathfinder.iml", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\pathfinder\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\pathfinder\Cargo.lock", "TOML", 0, 0, 0, 4592, 0, 0, 0, 2, 480, 5074
"c:\pathfinder\Cargo.toml", "TOML", 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"c:\pathfinder\README.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 8, 25
"c:\pathfinder\demos\staking-lst\README.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"c:\pathfinder\demos\staking-lst\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\pathfinder\scanner.log", "Log", 0, 0, 0, 0, 0, 0, 57014, 0, 5, 57019
"c:\pathfinder\src\bin\new.rs", "Rust", 18, 0, 0, 0, 0, 0, 0, 19, 7, 44
"c:\pathfinder\src\bin\test_scanners1.rs", "Rust", 65, 0, 0, 0, 0, 0, 0, 14, 12, 91
"c:\pathfinder\src\client_asset_scanner\mod.rs", "Rust", 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\pathfinder\src\finder\alloy_evm.rs", "Rust", 247, 0, 0, 0, 0, 0, 0, 7, 41, 295
"c:\pathfinder\src\finder\config.rs", "Rust", 31, 0, 0, 0, 0, 0, 0, 1, 6, 38
"c:\pathfinder\src\finder\discovery.rs", "Rust", 66, 0, 0, 0, 0, 0, 0, 5, 14, 85
"c:\pathfinder\src\finder\errors.rs", "Rust", 14, 0, 0, 0, 0, 0, 0, 1, 6, 21
"c:\pathfinder\src\finder\evm.rs", "Rust", 48, 0, 0, 0, 0, 0, 0, 0, 12, 60
"c:\pathfinder\src\finder\filter.rs", "Rust", 221, 0, 0, 0, 0, 0, 0, 18, 37, 276
"c:\pathfinder\src\finder\inspect.rs", "Rust", 88, 0, 0, 0, 0, 0, 0, 7, 17, 112
"c:\pathfinder\src\finder\mod.rs", "Rust", 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\pathfinder\src\finder\scanner.rs", "Rust", 96, 0, 0, 0, 0, 0, 0, 5, 18, 119
"c:\pathfinder\src\finder\store.rs", "Rust", 114, 0, 0, 0, 0, 0, 0, 7, 27, 148
"c:\pathfinder\src\finder\types.rs", "Rust", 137, 0, 0, 0, 0, 0, 0, 3, 30, 170
"c:\pathfinder\src\lib.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\pathfinder\src\main.rs", "Rust", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\pathfinder\src\optimizer\mod.rs", "Rust", 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\pathfinder\src\risk\apr_scanner.rs", "Rust", 360, 0, 0, 0, 0, 0, 0, 52, 72, 484
"c:\pathfinder\src\risk\clickhouse.rs", "Rust", 95, 0, 0, 0, 0, 0, 0, 19, 19, 133
"c:\pathfinder\src\risk\clickhouse.sql", "MS SQL", 0, 0, 65, 0, 0, 0, 0, 8, 20, 93
"c:\pathfinder\src\risk\context.rs", "Rust", 84, 0, 0, 0, 0, 0, 0, 27, 26, 137
"c:\pathfinder\src\risk\convert.rs", "Rust", 45, 0, 0, 0, 0, 0, 0, 2, 12, 59
"c:\pathfinder\src\risk\detectors\apr_risk_detector.rs", "Rust", 37, 0, 0, 0, 0, 0, 0, 2, 12, 51
"c:\pathfinder\src\risk\detectors\holder_concentration_detector.rs", "Rust", 33, 0, 0, 0, 0, 0, 0, 11, 14, 58
"c:\pathfinder\src\risk\detectors\mod.rs", "Rust", 11, 0, 0, 0, 0, 0, 0, 40, 12, 63
"c:\pathfinder\src\risk\detectors\owner_privilege_detector.rs", "Rust", 54, 0, 0, 0, 0, 0, 0, 6, 15, 75
"c:\pathfinder\src\risk\detectors\proxy_admin_eoa_detector.rs", "Rust", 29, 0, 0, 0, 0, 0, 0, 6, 8, 43
"c:\pathfinder\src\risk\detectors\reward_inflation_detector.rs", "Rust", 32, 0, 0, 0, 0, 0, 0, 2, 7, 41
"c:\pathfinder\src\risk\detectors\tvl_volatility_detector.rs", "Rust", 32, 0, 0, 0, 0, 0, 0, 3, 8, 43
"c:\pathfinder\src\risk\detectors\very_new_contract_detector.rs", "Rust", 23, 0, 0, 0, 0, 0, 0, 1, 5, 29
"c:\pathfinder\src\risk\engine.rs", "Rust", 90, 0, 0, 0, 0, 0, 0, 16, 25, 131
"c:\pathfinder\src\risk\mod.rs", "Rust", 9, 0, 0, 0, 0, 0, 0, 2, 1, 12
"c:\pathfinder\src\risk\model.rs", "Rust", 18, 0, 0, 0, 0, 0, 0, 6, 8, 32
"c:\pathfinder\src\risk\scorer.rs", "Rust", 57, 0, 0, 0, 0, 0, 0, 7, 12, 76
"c:\pathfinder\src\risk\store.rs", "Rust", 38, 0, 0, 0, 0, 0, 0, 4, 10, 52
"c:\pathfinder\src\risk\types.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 2219, 25, 65, 4619, 26, 0, 57014, 306, 1024, 65298
